,open,high,low,close,adjclose,volume,ticker
2015-01-02,50.4900016784668,50.83000183105469,49.7400016784668,50.099998474121094,50.099998474121094,1335700,LBTYA
2015-01-05,50.2599983215332,50.439998626708984,47.439998626708984,47.7400016784668,47.7400016784668,4167700,LBTYA
2015-01-06,47.88999938964844,47.91999816894531,46.56999969482422,47.58000183105469,47.58000183105469,4723300,LBTYA
2015-01-07,47.66999816894531,48.380001068115234,47.369998931884766,47.59000015258789,47.59000015258789,2452700,LBTYA
2015-01-08,47.95000076293945,48.540000915527344,47.650001525878906,47.77000045776367,47.77000045776367,2432300,LBTYA
2015-01-09,47.86000061035156,48.150001525878906,47.29999923706055,47.599998474121094,47.599998474121094,3121100,LBTYA
2015-01-12,47.58000183105469,47.7400016784668,47.22999954223633,47.61000061035156,47.61000061035156,1702000,LBTYA
2015-01-13,47.93000030517578,48.5099983215332,47.630001068115234,47.86000061035156,47.86000061035156,2513300,LBTYA
2015-01-14,46.86000061035156,48.099998474121094,46.86000061035156,47.84000015258789,47.84000015258789,2064900,LBTYA
2015-01-15,48.060001373291016,48.29999923706055,47.0,47.18000030517578,47.18000030517578,2104700,LBTYA
2015-01-16,47.0,47.209999084472656,45.810001373291016,46.400001525878906,46.400001525878906,5107100,LBTYA
2015-01-20,46.599998474121094,47.16999816894531,46.400001525878906,46.560001373291016,46.560001373291016,2895800,LBTYA
2015-01-21,46.27000045776367,46.970001220703125,46.13999938964844,46.79999923706055,46.79999923706055,2079800,LBTYA
2015-01-22,46.5,47.08000183105469,46.5,46.77000045776367,46.77000045776367,2410500,LBTYA
2015-01-23,46.90999984741211,47.18000030517578,46.689998626708984,46.79999923706055,46.79999923706055,3077100,LBTYA
2015-01-26,46.869998931884766,47.56999969482422,46.38999938964844,47.380001068115234,47.380001068115234,3223900,LBTYA
2015-01-27,47.15999984741211,47.29999923706055,46.56999969482422,46.66999816894531,46.66999816894531,2099600,LBTYA
2015-01-28,47.060001373291016,47.77000045776367,46.439998626708984,46.47999954223633,46.47999954223633,2575700,LBTYA
2015-01-29,46.650001525878906,47.0099983215332,45.95000076293945,46.40999984741211,46.40999984741211,2064300,LBTYA
2015-01-30,46.5099983215332,47.15999984741211,46.2400016784668,46.720001220703125,46.720001220703125,3356100,LBTYA
2015-02-02,46.75,47.52000045776367,46.38999938964844,47.349998474121094,47.349998474121094,2738700,LBTYA
2015-02-03,47.470001220703125,48.7400016784668,47.43000030517578,48.68000030517578,48.68000030517578,2264400,LBTYA
2015-02-04,48.70000076293945,49.369998931884766,48.439998626708984,49.04999923706055,49.04999923706055,2550700,LBTYA
2015-02-05,48.83000183105469,49.619998931884766,48.790000915527344,49.5,49.5,1328300,LBTYA
2015-02-06,49.68000030517578,49.79999923706055,48.91999816894531,49.060001373291016,49.060001373291016,1327400,LBTYA
2015-02-09,48.75,49.13999938964844,48.47999954223633,48.54999923706055,48.54999923706055,1146500,LBTYA
2015-02-10,48.529998779296875,49.029998779296875,48.33000183105469,48.88999938964844,48.88999938964844,1259900,LBTYA
2015-02-11,48.970001220703125,49.369998931884766,48.689998626708984,49.349998474121094,49.349998474121094,1784300,LBTYA
2015-02-12,49.7599983215332,49.84000015258789,49.36000061035156,49.790000915527344,49.790000915527344,2315300,LBTYA
2015-02-13,50.72999954223633,52.52000045776367,50.40999984741211,52.4900016784668,52.4900016784668,5785200,LBTYA
2015-02-17,52.7599983215332,53.720001220703125,52.29999923706055,52.880001068115234,52.880001068115234,3629200,LBTYA
2015-02-18,53.0,53.2400016784668,52.15999984741211,52.400001525878906,52.400001525878906,2050000,LBTYA
2015-02-19,52.400001525878906,52.77000045776367,52.099998474121094,52.75,52.75,1251300,LBTYA
2015-02-20,53.09000015258789,53.279998779296875,52.209999084472656,53.25,53.25,1234600,LBTYA
2015-02-23,53.220001220703125,53.939998626708984,53.0099983215332,53.84000015258789,53.84000015258789,1930700,LBTYA
2015-02-24,54.310001373291016,54.810001373291016,53.06999969482422,53.349998474121094,53.349998474121094,2456700,LBTYA
2015-02-25,53.20000076293945,54.560001373291016,53.20000076293945,54.4900016784668,54.4900016784668,2442000,LBTYA
2015-02-26,54.34000015258789,54.72999954223633,54.11000061035156,54.459999084472656,54.459999084472656,1783700,LBTYA
2015-02-27,54.470001220703125,54.470001220703125,53.7599983215332,54.060001373291016,54.060001373291016,2012000,LBTYA
2015-03-02,53.709999084472656,54.709999084472656,53.709999084472656,54.63999938964844,54.63999938964844,1780500,LBTYA
2015-03-03,54.52000045776367,55.65999984741211,54.400001525878906,55.630001068115234,55.630001068115234,1726000,LBTYA
2015-03-04,55.38999938964844,55.86000061035156,54.38999938964844,54.86000061035156,54.86000061035156,998300,LBTYA
2015-03-05,55.040000915527344,55.119998931884766,54.650001525878906,55.0,55.0,1467600,LBTYA
2015-03-06,54.7400016784668,54.970001220703125,53.54999923706055,54.189998626708984,54.189998626708984,2116800,LBTYA
2015-03-09,54.29999923706055,54.70000076293945,53.70000076293945,54.20000076293945,54.20000076293945,2294600,LBTYA
2015-03-10,53.939998626708984,54.189998626708984,53.06999969482422,53.209999084472656,53.209999084472656,1334300,LBTYA
2015-03-11,53.2599983215332,53.380001068115234,51.79999923706055,52.36000061035156,52.36000061035156,1706600,LBTYA
2015-03-12,52.52000045776367,52.849998474121094,52.09000015258789,52.709999084472656,52.709999084472656,1345000,LBTYA
2015-03-13,52.0,52.91999816894531,51.81999969482422,51.9900016784668,51.9900016784668,1101100,LBTYA
2015-03-16,52.18000030517578,53.099998474121094,52.04999923706055,52.66999816894531,52.66999816894531,1517800,LBTYA
2015-03-17,52.650001525878906,52.849998474121094,52.290000915527344,52.52000045776367,52.52000045776367,1134900,LBTYA
2015-03-18,52.099998474121094,53.15999984741211,51.75,53.040000915527344,53.040000915527344,2441500,LBTYA
2015-03-19,53.0,53.0099983215332,52.349998474121094,52.54999923706055,52.54999923706055,1101400,LBTYA
2015-03-20,53.16999816894531,53.369998931884766,52.540000915527344,53.25,53.25,2005200,LBTYA
2015-03-23,53.400001525878906,53.70000076293945,52.79999923706055,52.9900016784668,52.9900016784668,1405500,LBTYA
2015-03-24,52.88999938964844,53.08000183105469,52.439998626708984,52.529998779296875,52.529998779296875,1167100,LBTYA
2015-03-25,52.4900016784668,52.529998779296875,51.7400016784668,51.79999923706055,51.79999923706055,2473600,LBTYA
2015-03-26,51.869998931884766,52.08000183105469,51.400001525878906,51.630001068115234,51.630001068115234,2856400,LBTYA
2015-03-27,51.72999954223633,52.22999954223633,51.5,51.5099983215332,51.5099983215332,1599000,LBTYA
