,open,high,low,close,adjclose,volume,ticker
2015-01-02,79.87000274658203,80.19000244140625,78.83999633789062,79.44999694824219,71.35953521728516,830600,LRCX
2015-01-05,79.2699966430664,79.38999938964844,78.22000122070312,78.4800033569336,70.48831176757812,1440800,LRCX
2015-01-06,78.55999755859375,78.7300033569336,76.4000015258789,77.16999816894531,69.31172180175781,2341400,LRCX
2015-01-07,77.29000091552734,78.43000030517578,77.05000305175781,77.56999969482422,69.67097473144531,1508500,LRCX
2015-01-08,78.27999877929688,79.68000030517578,78.0,79.58000183105469,71.4762954711914,1871300,LRCX
2015-01-09,79.41999816894531,80.33000183105469,79.19999694824219,79.7300033569336,71.61100006103516,1461800,LRCX
2015-01-12,79.5,79.5,77.11000061035156,77.30999755859375,69.43746185302734,2154200,LRCX
2015-01-13,78.08999633789062,78.87999725341797,75.68000030517578,76.55999755859375,68.76382446289062,1653200,LRCX
2015-01-14,75.52999877929688,76.6500015258789,75.48999786376953,76.05000305175781,68.3057632446289,1350700,LRCX
2015-01-15,76.69000244140625,77.80999755859375,76.38999938964844,76.68000030517578,68.87159729003906,2147700,LRCX
2015-01-16,76.4800033569336,77.91999816894531,76.26000213623047,77.58000183105469,69.67998504638672,2313500,LRCX
2015-01-20,77.91999816894531,78.83999633789062,77.05000305175781,78.5,70.50625610351562,1531100,LRCX
2015-01-21,78.58000183105469,80.72000122070312,77.87000274658203,80.04000091552734,71.88945770263672,1933200,LRCX
2015-01-22,80.30000305175781,80.91999816894531,78.62999725341797,80.86000061035156,72.62596130371094,1603200,LRCX
2015-01-23,79.5999984741211,80.5999984741211,78.73999786376953,80.41999816894531,72.23075866699219,2102500,LRCX
2015-01-26,80.58999633789062,81.26000213623047,79.69000244140625,81.18000030517578,72.91337585449219,1641200,LRCX
2015-01-27,80.0999984741211,80.94000244140625,79.73999786376953,80.1500015258789,71.98824310302734,1457300,LRCX
2015-01-28,81.04000091552734,81.88999938964844,79.5999984741211,79.72000122070312,71.60205078125,2380600,LRCX
2015-01-29,80.0,82.16000366210938,77.55999755859375,79.87000274658203,71.73676300048828,3264800,LRCX
2015-01-30,78.98999786376953,79.41999816894531,76.37999725341797,76.44000244140625,68.65605163574219,3462900,LRCX
2015-02-02,76.76000213623047,77.01000213623047,75.0,76.66000366210938,68.8536376953125,2222100,LRCX
2015-02-03,76.87000274658203,77.66000366210938,76.36000061035156,77.62999725341797,69.72488403320312,2184100,LRCX
2015-02-04,77.5199966430664,78.31999969482422,76.9800033569336,77.44000244140625,69.55422973632812,2113100,LRCX
2015-02-05,77.76000213623047,78.19000244140625,77.31999969482422,78.02999877929688,70.08412170410156,1729800,LRCX
2015-02-06,78.05000305175781,79.44999694824219,77.79000091552734,78.13999938964844,70.18292999267578,1313900,LRCX
2015-02-09,77.70999908447266,77.98999786376953,76.9800033569336,77.68000030517578,69.76976776123047,1616500,LRCX
2015-02-10,78.36000061035156,80.8499984741211,77.98999786376953,80.58000183105469,72.37445831298828,2413500,LRCX
2015-02-11,80.58000183105469,80.76000213623047,80.1500015258789,80.5999984741211,72.39244079589844,1968200,LRCX
2015-02-12,80.75,81.11000061035156,80.26000213623047,81.11000061035156,72.85049438476562,1568400,LRCX
2015-02-13,81.37000274658203,82.23999786376953,81.12999725341797,82.20999908447266,73.83849334716797,1835000,LRCX
2015-02-17,82.2300033569336,82.37000274658203,81.12000274658203,81.91000366210938,73.56904602050781,1233100,LRCX
2015-02-18,82.0,82.37999725341797,81.41999816894531,81.91999816894531,73.57799530029297,879400,LRCX
2015-02-19,81.66999816894531,83.20999908447266,81.62999725341797,83.06999969482422,74.61090850830078,1092600,LRCX
2015-02-20,82.91999816894531,84.25,82.62000274658203,83.83999633789062,75.30248260498047,2541400,LRCX
2015-02-23,83.54000091552734,83.80000305175781,82.58999633789062,83.18000030517578,74.7096939086914,1006900,LRCX
2015-02-24,83.25,84.30000305175781,82.77999877929688,84.2300033569336,75.65277099609375,1850900,LRCX
2015-02-25,84.16999816894531,84.48999786376953,83.25,83.52999877929688,75.02404022216797,1266700,LRCX
2015-02-26,83.45999908447266,84.33999633789062,82.95999908447266,83.37999725341797,74.88934326171875,981100,LRCX
2015-02-27,83.19999694824219,83.27999877929688,82.22000122070312,82.45999908447266,74.06304931640625,1326800,LRCX
2015-03-02,83.05000305175781,84.4800033569336,82.97000122070312,84.4800033569336,75.8773193359375,1110500,LRCX
2015-03-03,83.62999725341797,84.16000366210938,81.56999969482422,81.79000091552734,73.46125030517578,2655900,LRCX
2015-03-04,81.16999816894531,81.62999725341797,80.5999984741211,80.87000274658203,72.63494110107422,1248700,LRCX
2015-03-05,81.16000366210938,81.7699966430664,80.2300033569336,80.7699966430664,72.54512023925781,1292200,LRCX
2015-03-06,80.25,80.83999633789062,79.7300033569336,80.16999816894531,72.00621032714844,1390900,LRCX
2015-03-09,79.94999694824219,80.91999816894531,79.77999877929688,80.77999877929688,72.71736907958984,1318400,LRCX
2015-03-10,80.05000305175781,80.56999969482422,77.95999908447266,77.95999908447266,70.17882537841797,2088900,LRCX
2015-03-11,78.23999786376953,79.05000305175781,78.08999633789062,78.2699966430664,70.45790100097656,1395800,LRCX
2015-03-12,77.77999877929688,78.13999938964844,77.06999969482422,77.72000122070312,69.96277618408203,2109200,LRCX
2015-03-13,77.55000305175781,78.86000061035156,77.12000274658203,78.70999908447266,70.85398864746094,1828100,LRCX
2015-03-16,79.23999786376953,79.95999908447266,79.0,79.88999938964844,71.91619873046875,999800,LRCX
2015-03-17,79.5,79.58999633789062,78.51000213623047,78.9800033569336,71.09701538085938,950000,LRCX
2015-03-18,78.41999816894531,78.73999786376953,74.91999816894531,77.48999786376953,69.75572967529297,4756700,LRCX
2015-03-19,77.48999786376953,78.98999786376953,76.7300033569336,78.94999694824219,71.07002258300781,2402600,LRCX
2015-03-20,79.43000030517578,79.62999725341797,78.25,79.2300033569336,71.32209014892578,2607900,LRCX
2015-03-23,78.97000122070312,79.27999877929688,78.26000213623047,78.43000030517578,70.6019287109375,1331200,LRCX
2015-03-24,78.5,79.51000213623047,78.30000305175781,78.76000213623047,70.89898681640625,1689400,LRCX
2015-03-25,78.54000091552734,78.55999755859375,72.69999694824219,72.75,65.48883819580078,4359600,LRCX
2015-03-26,72.01000213623047,72.08999633789062,69.91999816894531,71.1500015258789,64.04853057861328,5161200,LRCX
2015-03-27,71.36000061035156,72.47000122070312,70.87999725341797,72.04000091552734,64.8497085571289,3416900,LRCX
2015-03-30,72.68000030517578,72.75,71.55000305175781,72.19000244140625,64.9847183227539,2083300,LRCX
2015-03-31,71.69999694824219,71.9800033569336,69.06999969482422,70.23999786376953,63.229366302490234,4295100,LRCX
2015-04-01,70.58999633789062,70.86000061035156,69.87999725341797,70.26000213623047,63.24736785888672,2624200,LRCX
2015-04-02,70.30000305175781,71.1500015258789,69.88999938964844,70.75,63.68846130371094,2163600,LRCX
2015-04-06,69.9000015258789,72.4800033569336,69.55999755859375,72.3499984741211,65.12875366210938,2776500,LRCX
2015-04-07,72.44000244140625,73.0999984741211,71.16000366210938,71.16999816894531,64.06655883789062,3555600,LRCX
2015-04-08,71.25,73.0999984741211,71.16999816894531,72.83000183105469,65.56086730957031,2173900,LRCX
2015-04-09,72.47000122070312,73.2699966430664,72.31999969482422,73.16000366210938,65.8579330444336,1382300,LRCX
2015-04-10,73.27999877929688,73.27999877929688,72.58999633789062,73.0999984741211,65.80390167236328,1199800,LRCX
2015-04-13,73.08000183105469,73.9800033569336,72.45999908447266,72.69999694824219,65.44384002685547,1249800,LRCX
2015-04-14,72.72000122070312,72.7300033569336,71.69000244140625,72.0,64.81370544433594,2028300,LRCX
2015-04-15,72.08999633789062,73.05999755859375,71.87000274658203,72.41999816894531,65.19178771972656,2480500,LRCX
2015-04-16,71.76000213623047,72.2300033569336,71.23999786376953,71.79000091552734,64.6246566772461,2451300,LRCX
2015-04-17,71.2300033569336,71.7699966430664,70.36000061035156,70.66000366210938,63.607425689697266,1920800,LRCX
2015-04-20,71.05000305175781,72.41000366210938,71.0,71.98999786376953,64.80470275878906,2895400,LRCX
2015-04-21,80.88999938964844,81.6500015258789,76.48999786376953,77.83999633789062,70.07081604003906,10181700,LRCX
2015-04-22,78.44000244140625,78.72000122070312,76.68000030517578,78.36000061035156,70.53888702392578,2843200,LRCX
2015-04-23,77.48999786376953,78.16999816894531,76.80999755859375,77.08000183105469,69.38666534423828,2408800,LRCX
2015-04-24,76.7699966430664,77.08000183105469,75.73999786376953,76.69999694824219,69.04458618164062,2953800,LRCX
2015-04-27,77.06999969482422,77.83000183105469,76.18000030517578,76.33000183105469,68.7115249633789,2483000,LRCX
2015-04-28,76.20999908447266,76.86000061035156,75.33000183105469,76.38999938964844,68.76554107666016,1727400,LRCX
2015-04-29,75.83000183105469,76.98999786376953,75.7699966430664,76.37999725341797,68.75653839111328,1795400,LRCX
2015-04-30,76.02999877929688,76.5999984741211,75.0199966430664,75.58000183105469,68.03636932373047,1638300,LRCX
2015-05-01,76.08999633789062,77.3499984741211,76.01000213623047,77.2300033569336,69.52166748046875,1484000,LRCX
2015-05-04,77.19999694824219,77.43000030517578,76.76000213623047,76.88999938964844,69.21562957763672,1109700,LRCX
2015-05-05,76.5999984741211,76.5999984741211,75.19999694824219,75.5999984741211,68.05438232421875,1746000,LRCX
2015-05-06,75.77999877929688,76.48999786376953,74.52999877929688,75.19999694824219,67.69430541992188,1527200,LRCX
2015-05-07,74.95999908447266,75.76000213623047,74.75,75.44999694824219,67.91934967041016,1724100,LRCX
2015-05-08,75.97000122070312,77.1500015258789,75.76000213623047,77.0199966430664,69.3326416015625,1447800,LRCX
2015-05-11,77.18000030517578,78.79000091552734,76.70999908447266,78.11000061035156,70.3138427734375,1948300,LRCX
2015-05-12,77.80000305175781,77.80000305175781,75.83999633789062,76.80000305175781,69.13459777832031,1431500,LRCX
2015-05-13,76.86000061035156,77.94999694824219,76.86000061035156,77.23999786376953,69.53070068359375,1387100,LRCX
2015-05-14,77.68000030517578,78.55000305175781,77.29000091552734,78.25,70.43990325927734,1678300,LRCX
2015-05-15,78.66000366210938,79.52999877929688,78.5,78.7300033569336,70.87197875976562,1336800,LRCX
2015-05-18,79.41000366210938,79.75,78.7699966430664,79.45999908447266,71.52911376953125,1303200,LRCX
2015-05-19,80.02999877929688,82.41999816894531,80.0,80.77999877929688,72.71736907958984,2439900,LRCX
2015-05-20,80.77999877929688,81.18000030517578,80.11000061035156,80.36000061035156,72.33930206298828,1425700,LRCX
2015-05-21,80.31999969482422,81.41000366210938,80.0199966430664,81.2300033569336,73.12244415283203,1178300,LRCX
2015-05-22,80.98999786376953,81.98999786376953,80.9800033569336,81.08000183105469,72.98743438720703,1585600,LRCX
2015-05-26,80.70999908447266,81.55000305175781,79.94000244140625,80.41000366210938,72.38430786132812,1473000,LRCX
2015-05-27,80.56999969482422,82.93000030517578,80.33000183105469,82.66000366210938,74.40973663330078,2630000,LRCX
2015-05-28,82.61000061035156,83.3499984741211,82.0999984741211,82.37999725341797,74.15768432617188,1259600,LRCX
2015-05-29,82.37999725341797,83.1500015258789,81.9000015258789,82.25,74.04063415527344,1968700,LRCX
2015-06-01,82.7699966430664,83.7699966430664,82.29000091552734,83.38999938964844,75.0668716430664,2973400,LRCX
2015-06-02,82.93000030517578,84.0199966430664,82.30000305175781,83.27999877929688,74.96783447265625,2132000,LRCX
2015-06-03,83.5,83.91999816894531,82.93000030517578,83.5199966430664,75.18389129638672,2174200,LRCX
2015-06-04,82.88999938964844,83.45999908447266,82.30999755859375,82.97000122070312,74.68878936767578,1452100,LRCX
2015-06-05,83.06999969482422,83.69999694824219,82.19999694824219,83.44000244140625,75.11186981201172,1086300,LRCX
2015-06-08,84.0,84.01000213623047,81.97000122070312,82.25,74.30780792236328,1418900,LRCX
2015-06-09,82.04000091552734,82.62999725341797,80.69000244140625,81.9800033569336,74.06387329101562,1946000,LRCX
2015-06-10,82.55000305175781,82.83999633789062,82.0199966430664,82.63999938964844,74.66017150878906,1172400,LRCX
2015-06-11,83.0,83.37999725341797,82.22000122070312,82.54000091552734,74.56980895996094,1032600,LRCX
2015-06-12,82.02999877929688,82.30000305175781,81.22000122070312,81.45999908447266,73.59410858154297,1044200,LRCX
2015-06-15,80.91000366210938,81.29000091552734,79.52999877929688,81.26000213623047,73.41341400146484,2447400,LRCX
2015-06-16,81.16000366210938,82.58999633789062,80.97000122070312,82.55000305175781,74.57884979248047,1418300,LRCX
2015-06-17,82.05999755859375,82.95999908447266,81.93000030517578,82.25,74.30780792236328,1882400,LRCX
2015-06-18,82.62000274658203,84.1500015258789,82.5199966430664,83.87000274658203,75.77136993408203,1511400,LRCX
2015-06-19,83.98999786376953,84.38999938964844,83.19000244140625,83.2300033569336,75.19318389892578,1809100,LRCX
2015-06-22,83.7699966430664,84.2300033569336,82.79000091552734,83.66999816894531,75.5906982421875,1120500,LRCX
2015-06-23,83.62999725341797,84.23999786376953,83.33999633789062,83.77999877929688,75.69007873535156,1204000,LRCX
2015-06-24,83.58999633789062,83.88999938964844,82.97000122070312,83.20999908447266,75.17512512207031,1089900,LRCX
2015-06-25,83.61000061035156,84.33999633789062,83.19999694824219,83.7300033569336,75.6449203491211,1457900,LRCX
2015-06-26,83.23999786376953,84.26000213623047,82.37000274658203,82.86000061035156,74.8589096069336,3109600,LRCX
2015-06-29,81.83000183105469,82.06999969482422,79.95999908447266,80.19999694824219,72.45578002929688,1688600,LRCX
2015-06-30,81.19999694824219,82.12000274658203,80.83999633789062,81.3499984741211,73.49471282958984,1707600,LRCX
2015-07-01,82.91999816894531,84.12999725341797,81.81999969482422,82.2699966430664,74.32588958740234,1843600,LRCX
2015-07-02,82.44999694824219,83.30000305175781,81.94000244140625,83.2300033569336,75.19318389892578,1520300,LRCX
2015-07-06,82.22000122070312,83.4800033569336,80.87999725341797,81.13999938964844,73.30500030517578,3065200,LRCX
2015-07-07,80.88999938964844,80.95999908447266,77.7300033569336,80.16000366210938,72.41964721679688,2864300,LRCX
2015-07-08,79.55999755859375,79.9800033569336,77.73999786376953,77.94999694824219,70.42301940917969,2307200,LRCX
2015-07-09,79.8499984741211,80.37000274658203,77.58999633789062,77.62999725341797,70.13394165039062,1849300,LRCX
2015-07-10,78.2300033569336,78.88999938964844,77.66999816894531,78.52999877929688,70.94702911376953,1825800,LRCX
2015-07-13,79.0,79.77999877929688,77.95999908447266,79.2699966430664,71.61557006835938,2220000,LRCX
2015-07-14,79.5,80.7300033569336,78.0999984741211,79.8499984741211,72.13955688476562,3867000,LRCX
2015-07-15,79.87999725341797,80.25,78.75,79.48999786376953,71.8143310546875,2004700,LRCX
2015-07-16,79.33999633789062,79.58999633789062,75.51000213623047,77.3499984741211,69.88097381591797,3876800,LRCX
2015-07-17,77.51000213623047,77.54000091552734,76.9000015258789,77.26000213623047,69.79964447021484,1661400,LRCX
2015-07-20,77.93000030517578,78.2300033569336,76.9800033569336,77.08000183105469,69.63703918457031,970200,LRCX
2015-07-21,77.0,78.2300033569336,76.83999633789062,77.37000274658203,69.89904022216797,1267400,LRCX
2015-07-22,76.55999755859375,76.87999725341797,75.05999755859375,76.4800033569336,69.0949935913086,1419800,LRCX
2015-07-23,76.69999694824219,78.0999984741211,76.41999816894531,77.0199966430664,69.58281707763672,1239700,LRCX
2015-07-24,76.93000030517578,77.12999725341797,74.87999725341797,75.44999694824219,68.1644287109375,1705300,LRCX
2015-07-27,74.81999969482422,75.91000366210938,73.80999755859375,75.44999694824219,68.1644287109375,1553300,LRCX
2015-07-28,75.69999694824219,78.29000091552734,74.77999877929688,77.75,70.2423324584961,2323200,LRCX
2015-07-29,78.12000274658203,78.12000274658203,75.97000122070312,77.66999816894531,70.17007446289062,2977800,LRCX
2015-07-30,78.44000244140625,80.87000274658203,78.33999633789062,78.56999969482422,70.9831771850586,3393900,LRCX
2015-07-31,78.95999908447266,79.77999877929688,76.51000213623047,76.87000274658203,69.44731140136719,2513800,LRCX
2015-08-03,76.70999908447266,76.87999725341797,75.33000183105469,75.73999786376953,68.42644500732422,2646800,LRCX
2015-08-04,74.44000244140625,75.87000274658203,72.87999725341797,73.08999633789062,66.03231811523438,3507400,LRCX
2015-08-05,73.44000244140625,74.58000183105469,73.29000091552734,74.05000305175781,66.89962768554688,2213800,LRCX
2015-08-06,74.41999816894531,74.41999816894531,72.29000091552734,72.5199966430664,65.51734924316406,1951800,LRCX
2015-08-07,72.1500015258789,72.43000030517578,71.37000274658203,72.41999816894531,65.42701721191406,1765600,LRCX
2015-08-10,73.33999633789062,75.18000030517578,72.93000030517578,74.87000274658203,67.64044189453125,2071700,LRCX
2015-08-11,74.25,74.44000244140625,72.87999725341797,73.0,65.95101165771484,2035800,LRCX
2015-08-12,71.94999694824219,73.05999755859375,70.80999755859375,72.61000061035156,65.59866333007812,2495300,LRCX
2015-08-13,72.75,73.4000015258789,71.93000030517578,72.01000213623047,65.0566177368164,1908600,LRCX
