,open,high,low,close,adjclose,volume,ticker
2015-01-02,73.5999984741211,73.91999816894531,72.12000274658203,73.31999969482422,66.53221893310547,2850200,SWKS
2015-01-05,73.0999984741211,73.4000015258789,72.05000305175781,72.12999725341797,65.45237731933594,2924500,SWKS
2015-01-06,72.19999694824219,72.55000305175781,68.70999908447266,69.83000183105469,63.365318298339844,4746300,SWKS
2015-01-07,71.47000122070312,71.88999938964844,70.30999755859375,70.9800033569336,64.40886688232422,2896200,SWKS
2015-01-08,72.0,74.73999786376953,71.75,74.19999694824219,67.33077239990234,3773000,SWKS
2015-01-09,74.73999786376953,74.76000213623047,72.51000213623047,74.08000183105469,67.22187805175781,2865400,SWKS
2015-01-12,74.1500015258789,74.25,71.61000061035156,72.31999969482422,65.62480163574219,2738100,SWKS
2015-01-13,74.0,74.80000305175781,72.0999984741211,72.83999633789062,66.09667205810547,3039600,SWKS
2015-01-14,71.37000274658203,72.66999816894531,70.5999984741211,71.5999984741211,64.97144317626953,3062200,SWKS
2015-01-15,72.0199966430664,72.95999908447266,70.80999755859375,71.33000183105469,64.72644805908203,2733800,SWKS
2015-01-16,71.05999755859375,74.0,71.02999877929688,73.8499984741211,67.0131607055664,3080700,SWKS
2015-01-20,74.6500015258789,75.9000015258789,74.47000122070312,75.55999755859375,68.56485748291016,3613200,SWKS
2015-01-21,75.5999984741211,77.33999633789062,75.0199966430664,77.30000305175781,70.14374542236328,3158300,SWKS
2015-01-22,77.80000305175781,79.41999816894531,75.56999969482422,79.33000183105469,71.98582458496094,6670100,SWKS
2015-01-23,78.41000366210938,82.77999877929688,78.26000213623047,80.86000061035156,73.37418365478516,7677500,SWKS
2015-01-26,80.86000061035156,82.5,79.6500015258789,82.4800033569336,74.84420776367188,3533800,SWKS
2015-01-27,81.23999786376953,82.5,81.11000061035156,81.5199966430664,73.97311401367188,3332600,SWKS
2015-01-28,83.5,83.94999694824219,81.6500015258789,81.83000183105469,74.25439453125,4507300,SWKS
2015-01-29,82.22000122070312,84.55000305175781,81.4000015258789,84.19000244140625,76.39590454101562,4108200,SWKS
2015-01-30,84.0,84.94999694824219,82.94999694824219,83.05000305175781,75.36145782470703,3505700,SWKS
2015-02-02,83.06999969482422,83.7300033569336,80.1500015258789,82.0199966430664,74.42679595947266,4119000,SWKS
2015-02-03,81.88999938964844,82.9000015258789,80.72000122070312,82.2699966430664,74.77216339111328,2790000,SWKS
2015-02-04,81.43000030517578,82.8499984741211,81.37999725341797,82.30000305175781,74.7994384765625,2419800,SWKS
2015-02-05,82.5999984741211,82.5999984741211,80.5199966430664,81.4000015258789,73.98146057128906,3302100,SWKS
2015-02-06,81.37999725341797,83.04000091552734,80.69000244140625,81.44000244140625,74.017822265625,2928800,SWKS
2015-02-09,80.62999725341797,80.87000274658203,77.19999694824219,79.08000183105469,71.8729019165039,5478500,SWKS
2015-02-10,80.12000274658203,81.76000213623047,78.86000061035156,81.63999938964844,74.1995849609375,3230200,SWKS
2015-02-11,82.05999755859375,82.7300033569336,81.19999694824219,82.36000061035156,74.85395050048828,2444900,SWKS
2015-02-12,83.08000183105469,83.25,81.45999908447266,82.41999816894531,74.90850067138672,2251300,SWKS
2015-02-13,82.94000244140625,82.9800033569336,80.83999633789062,81.8499984741211,74.39043426513672,2637800,SWKS
2015-02-17,81.68000030517578,82.9800033569336,81.44999694824219,82.73999786376953,75.19932556152344,1867000,SWKS
2015-02-18,82.87000274658203,82.97000122070312,81.91000366210938,82.55999755859375,75.03572845458984,1651900,SWKS
2015-02-19,82.47000122070312,83.33000183105469,82.19000244140625,83.05999755859375,75.49015808105469,1745100,SWKS
2015-02-20,82.80999755859375,84.4000015258789,82.80999755859375,84.30000305175781,76.61717224121094,2346000,SWKS
2015-02-23,84.88999938964844,86.08999633789062,84.1500015258789,86.01000213623047,78.17131805419922,3430100,SWKS
2015-02-24,86.0,88.2699966430664,84.9000015258789,88.18000030517578,80.1435546875,3797200,SWKS
2015-02-25,88.25,88.93000030517578,87.27999877929688,87.7300033569336,79.73457336425781,3104900,SWKS
2015-02-26,88.44999694824219,89.69000244140625,87.31999969482422,88.58000183105469,80.50707244873047,3981000,SWKS
2015-02-27,88.94000244140625,89.37999725341797,87.31999969482422,87.75,79.75271606445312,2193500,SWKS
2015-03-02,88.23999786376953,91.20999908447266,88.12000274658203,91.12999725341797,82.82470703125,3456600,SWKS
2015-03-03,90.95999908447266,91.22000122070312,88.61000061035156,88.73999786376953,80.65253448486328,4561100,SWKS
2015-03-04,88.5199966430664,90.19999694824219,87.6500015258789,90.16000366210938,81.94310760498047,2871300,SWKS
2015-03-05,90.55000305175781,91.83999633789062,90.27999877929688,91.55000305175781,83.2064208984375,3003800,SWKS
2015-03-06,91.47000122070312,91.81999969482422,89.81999969482422,90.75,82.47933959960938,3406900,SWKS
2015-03-09,90.94999694824219,92.43000030517578,90.6500015258789,92.12000274658203,83.72444915771484,2618300,SWKS
2015-03-10,92.76000213623047,92.98999786376953,90.13999938964844,91.19999694824219,82.88831329345703,5344400,SWKS
2015-03-11,92.12999725341797,93.3499984741211,91.83000183105469,92.19999694824219,83.79717254638672,40723100,SWKS
2015-03-12,92.26000213623047,93.16000366210938,91.68000030517578,92.86000061035156,84.39704132080078,3998000,SWKS
2015-03-13,92.58999633789062,93.4800033569336,92.13999938964844,92.91999816894531,84.45155334472656,3659200,SWKS
2015-03-16,93.2300033569336,96.86000061035156,93.2300033569336,96.77999877929688,87.95975494384766,4697600,SWKS
2015-03-17,96.51000213623047,97.44999694824219,95.13999938964844,97.30999755859375,88.44145965576172,3404100,SWKS
2015-03-18,96.83000183105469,97.69999694824219,95.3499984741211,97.12000274658203,88.26878356933594,3710800,SWKS
2015-03-19,97.44999694824219,99.77999877929688,97.25,99.56999969482422,90.4954833984375,4131600,SWKS
2015-03-20,100.13999938964844,102.19999694824219,99.75,102.05000305175781,92.74947357177734,4122700,SWKS
