,open,high,low,close,adjclose,volume,ticker
2015-01-02,128.1300048828125,129.08999633789062,125.23999786376953,126.83999633789062,126.83999633789062,410800,ULTA
2015-01-05,126.30999755859375,127.9800033569336,125.6500015258789,127.1500015258789,127.1500015258789,477400,ULTA
2015-01-06,127.05000305175781,128.7899932861328,124.69999694824219,126.94999694824219,126.94999694824219,758200,ULTA
2015-01-07,128.77999877929688,130.63999938964844,127.97000122070312,130.5800018310547,130.5800018310547,597200,ULTA
2015-01-08,131.52999877929688,132.8800048828125,131.13999938964844,132.24000549316406,132.24000549316406,618400,ULTA
2015-01-09,132.0,132.8699951171875,129.83999633789062,131.57000732421875,131.57000732421875,574200,ULTA
2015-01-12,132.3800048828125,132.42999267578125,129.13999938964844,129.83999633789062,129.83999633789062,428300,ULTA
2015-01-13,130.58999633789062,132.94000244140625,127.51000213623047,128.80999755859375,128.80999755859375,542600,ULTA
2015-01-14,127.1500015258789,129.05999755859375,127.12999725341797,128.75,128.75,410900,ULTA
2015-01-15,131.80999755859375,131.80999755859375,126.86000061035156,127.13999938964844,127.13999938964844,678200,ULTA
2015-01-16,126.75,129.9499969482422,126.61000061035156,129.72000122070312,129.72000122070312,529100,ULTA
2015-01-20,130.38999938964844,130.69000244140625,126.94999694824219,127.16000366210938,127.16000366210938,481000,ULTA
2015-01-21,127.08999633789062,128.6699981689453,126.61000061035156,128.35000610351562,128.35000610351562,315500,ULTA
2015-01-22,128.89999389648438,132.6300048828125,127.5,132.55999755859375,132.55999755859375,638700,ULTA
2015-01-23,133.13999938964844,137.3300018310547,132.5,135.33999633789062,135.33999633789062,1233400,ULTA
2015-01-26,136.67999267578125,137.49000549316406,134.77000427246094,136.0800018310547,136.0800018310547,844100,ULTA
2015-01-27,135.80999755859375,136.8300018310547,134.14999389648438,135.83999633789062,135.83999633789062,437600,ULTA
2015-01-28,136.64999389648438,137.1999969482422,133.5500030517578,133.86000061035156,133.86000061035156,486700,ULTA
2015-01-29,134.3800048828125,134.5800018310547,132.3300018310547,134.39999389648438,134.39999389648438,563700,ULTA
2015-01-30,134.27999877929688,135.08999633789062,131.5,131.94000244140625,131.94000244140625,606900,ULTA
2015-02-02,132.0800018310547,132.35000610351562,128.11000061035156,130.9600067138672,130.9600067138672,904100,ULTA
2015-02-03,131.13999938964844,134.02999877929688,130.5399932861328,133.85000610351562,133.85000610351562,569300,ULTA
2015-02-04,133.36000061035156,133.8300018310547,131.1699981689453,132.0,132.0,735400,ULTA
2015-02-05,132.30999755859375,133.60000610351562,131.72000122070312,133.02999877929688,133.02999877929688,588000,ULTA
2015-02-06,132.97999572753906,133.57000732421875,132.0,133.25999450683594,133.25999450683594,386500,ULTA
2015-02-09,133.1300048828125,135.05999755859375,132.75999450683594,134.97000122070312,134.97000122070312,513100,ULTA
2015-02-10,135.8800048828125,138.11000061035156,135.2899932861328,137.0,137.0,741100,ULTA
2015-02-11,136.69000244140625,137.97999572753906,135.24000549316406,135.89999389648438,135.89999389648438,548300,ULTA
2015-02-12,136.5,136.63999938964844,134.72000122070312,136.07000732421875,136.07000732421875,408600,ULTA
2015-02-13,135.94000244140625,136.6699981689453,134.69000244140625,136.66000366210938,136.66000366210938,521500,ULTA
2015-02-17,136.74000549316406,136.94000244140625,134.55999755859375,135.91000366210938,135.91000366210938,336800,ULTA
2015-02-18,135.3800048828125,136.74000549316406,134.58999633789062,136.6199951171875,136.6199951171875,275500,ULTA
2015-02-19,136.85000610351562,139.72999572753906,136.60000610351562,136.9199981689453,136.9199981689453,562700,ULTA
2015-02-20,137.1199951171875,138.1300048828125,135.7100067138672,138.0,138.0,286500,ULTA
2015-02-23,137.99000549316406,138.9199981689453,136.6699981689453,137.25,137.25,316300,ULTA
2015-02-24,137.6699981689453,138.41000366210938,136.11000061035156,138.38999938964844,138.38999938964844,523600,ULTA
2015-02-25,138.4199981689453,140.30999755859375,137.13999938964844,138.75999450683594,138.75999450683594,463000,ULTA
2015-02-26,138.52000427246094,141.0,138.47000122070312,140.58999633789062,140.58999633789062,539600,ULTA
2015-02-27,141.97999572753906,143.33999633789062,140.00999450683594,140.75999450683594,140.75999450683594,720600,ULTA
2015-03-02,141.97000122070312,143.69000244140625,141.0,143.6199951171875,143.6199951171875,507500,ULTA
2015-03-03,143.25,143.25,141.60000610351562,142.02999877929688,142.02999877929688,662100,ULTA
2015-03-04,141.5500030517578,142.00999450683594,139.44000244140625,139.91000366210938,139.91000366210938,659900,ULTA
2015-03-05,139.9499969482422,141.8000030517578,139.49000549316406,140.86000061035156,140.86000061035156,479300,ULTA
2015-03-06,140.55999755859375,141.1699981689453,138.27000427246094,138.58999633789062,138.58999633789062,640500,ULTA
2015-03-09,139.8800048828125,141.6999969482422,139.4199981689453,140.9600067138672,140.9600067138672,1691600,ULTA
2015-03-10,140.27000427246094,142.08999633789062,139.02999877929688,140.47000122070312,140.47000122070312,1195700,ULTA
2015-03-11,141.77999877929688,142.82000732421875,140.49000549316406,141.9600067138672,141.9600067138672,943400,ULTA
2015-03-12,143.92999267578125,145.89999389648438,142.27999877929688,144.82000732421875,144.82000732421875,2368300,ULTA
2015-03-13,155.08999633789062,156.0,148.11000061035156,150.10000610351562,150.10000610351562,4533700,ULTA
2015-03-16,150.0,151.0,148.44000244140625,150.17999267578125,150.17999267578125,1256800,ULTA
2015-03-17,149.3800048828125,151.94000244140625,148.77999877929688,150.4600067138672,150.4600067138672,923000,ULTA
2015-03-18,150.72999572753906,151.58999633789062,149.1300048828125,150.99000549316406,150.99000549316406,840700,ULTA
