,open,high,low,close,adjclose,volume,ticker
2015-01-02,43.5099983215332,43.93000030517578,43.11000061035156,43.599998474121094,38.37947463989258,2402400,XLNX
2015-01-05,43.47999954223633,43.56999969482422,42.7599983215332,42.79999923706055,37.675254821777344,2611100,XLNX
2015-01-06,42.83000183105469,42.91999816894531,41.970001220703125,42.18000030517578,37.12949752807617,3430500,XLNX
2015-01-07,42.4900016784668,42.619998931884766,42.06999969482422,42.20000076293945,37.14711380004883,2110600,XLNX
2015-01-08,42.5,43.34000015258789,42.45000076293945,43.13999938964844,37.97455596923828,2824200,XLNX
2015-01-09,43.150001525878906,43.349998474121094,42.720001220703125,43.099998474121094,37.939334869384766,1452100,XLNX
2015-01-12,43.099998474121094,43.18000030517578,42.25,42.470001220703125,37.384769439697266,2560400,XLNX
2015-01-13,42.86000061035156,43.27000045776367,41.38999938964844,41.849998474121094,36.8390007019043,4836200,XLNX
2015-01-14,40.2599983215332,41.58000183105469,40.040000915527344,41.369998931884766,36.416481018066406,6150600,XLNX
2015-01-15,41.400001525878906,41.939998626708984,40.959999084472656,41.040000915527344,36.12599563598633,4180600,XLNX
2015-01-16,40.7400016784668,41.369998931884766,40.47999954223633,41.220001220703125,36.28444290161133,4244800,XLNX
2015-01-20,41.45000076293945,41.86000061035156,40.97999954223633,41.060001373291016,36.14361572265625,3823400,XLNX
2015-01-21,40.810001373291016,41.630001068115234,40.779998779296875,41.5099983215332,36.53972244262695,5524900,XLNX
2015-01-22,38.11000061035156,39.84000015258789,37.20000076293945,38.959999084472656,34.295047760009766,20467400,XLNX
2015-01-23,38.900001525878906,39.40999984741211,38.790000915527344,39.279998779296875,34.57673645019531,4296200,XLNX
2015-01-26,38.369998931884766,39.2599983215332,38.369998931884766,38.9900016784668,34.321468353271484,4156400,XLNX
2015-01-27,38.56999969482422,39.56999969482422,38.56999969482422,39.45000076293945,34.726383209228516,4732400,XLNX
2015-01-28,39.54999923706055,40.040000915527344,38.7599983215332,38.77000045776367,34.127803802490234,4501100,XLNX
2015-01-29,38.75,39.369998931884766,38.5099983215332,38.9900016784668,34.321468353271484,3015400,XLNX
2015-01-30,38.56999969482422,39.060001373291016,38.529998779296875,38.58000183105469,33.96055221557617,4492900,XLNX
2015-02-02,38.33000183105469,38.90999984741211,38.06999969482422,38.83000183105469,34.43949508666992,4665900,XLNX
2015-02-03,38.63999938964844,39.529998779296875,38.63999938964844,39.310001373291016,34.865234375,2861400,XLNX
2015-02-04,39.2599983215332,40.130001068115234,38.9900016784668,39.84000015258789,35.335296630859375,3895000,XLNX
2015-02-05,39.869998931884766,39.9900016784668,39.13999938964844,39.56999969482422,35.09581756591797,3578400,XLNX
2015-02-06,39.7599983215332,40.0,39.290000915527344,39.400001525878906,34.945037841796875,2799500,XLNX
2015-02-09,39.349998474121094,39.63999938964844,39.22999954223633,39.5099983215332,35.0426025390625,2769500,XLNX
2015-02-10,39.810001373291016,40.189998626708984,39.470001220703125,40.15999984741211,35.61911392211914,2013100,XLNX
2015-02-11,40.0099983215332,40.150001525878906,39.7400016784668,39.93000030517578,35.41511535644531,2229700,XLNX
2015-02-12,40.060001373291016,41.02000045776367,39.970001220703125,41.0,36.3641242980957,3353600,XLNX
