,Symbol,SECTOR
1,CPRT,Commercial Services
2,TMUS,Communications
3,TSLA,Consumer Durables
4,ATVI,Consumer Durables
5,EA,Consumer Durables
6,TTWO,Consumer Durables
7,PEP,Consumer Non-Durables
8,MDLZ,Consumer Non-Durables
9,MNST,Consumer Non-Durables
10,KHC,Consumer Non-Durables
11,NFLX,Consumer Services
12,CMCSA,Consumer Services
13,CHTR,Consumer Services
14,SBUX,Consumer Services
15,BKNG,Consumer Services
16,EBAY,Consumer Services
17,CTAS,Consumer Services
18,MAR,Consumer Services
19,SIRI,Consumer Services
20,TCOM,Consumer Services
21,FOXA,Consumer Services
22,FOX,Consumer Services
23,EXPE,Consumer Services
24,LBTYA,Consumer Services
25,LBTYK,Consumer Services
26,FAST,Distribution Services
27,AAPL,Electronic Technology
28,NVDA,Electronic Technology
29,INTC,Electronic Technology
30,AVGO,Electronic Technology
31,QCOM,Electronic Technology
32,TXN,Electronic Technology
33,AMD,Electronic Technology
34,MU,Electronic Technology
35,LRCX,Electronic Technology
36,ADI,Electronic Technology
37,NXPI,Electronic Technology
38,KLAC,Electronic Technology
39,XLNX,Electronic Technology
40,MCHP,Electronic Technology
41,SWKS,Electronic Technology
42,MXIM,Electronic Technology
43,WDC,Electronic Technology
44,VRSK,Finance
45,AMGN,Health Technology
46,ISRG,Health Technology
47,GILD,Health Technology
48,REGN,Health Technology
49,VRTX,Health Technology
50,ILMN,Health Technology
51,BIIB,Health Technology
52,DXCM,Health Technology
53,ALGN,Health Technology
54,IDXX,Health Technology
55,SGEN,Health Technology
56,MRNA,Health Technology
57,ALXN,Health Technology
58,INCY,Health Technology
59,BMRN,Health Technology
60,ASML,Producer Manufacturing
61,AMAT,Producer Manufacturing
62,PCAR,Producer Manufacturing
63,AMZN,Retail Trade
64,COST,Retail Trade
65,JD,Retail Trade
66,PDD,Retail Trade
67,LULU,Retail Trade
68,ORLY,Retail Trade
69,ROST,Retail Trade
70,WBA,Retail Trade
71,DLTR,Retail Trade
72,ULTA,Retail Trade
73,MSFT,Technology Services
74,GOOG,Technology Services
75,GOOGL,Technology Services
76,FB,Technology Services
77,PYPL,Technology Services
78,ADBE,Technology Services
79,CSCO,Technology Services
80,ZM,Technology Services
81,INTU,Technology Services
82,FISV,Technology Services
83,MELI,Technology Services
84,ADP,Technology Services
85,NTES,Technology Services
86,ADSK,Technology Services
87,WDAY,Technology Services
88,DOCU,Technology Services
89,CTSH,Technology Services
90,BIDU,Technology Services
91,SPLK,Technology Services
92,SNPS,Technology Services
93,CDNS,Technology Services
94,PAYX,Technology Services
95,ANSS,Technology Services
96,VRSN,Technology Services
97,CERN,Technology Services
98,CDW,Technology Services
99,CHKP,Technology Services
100,CTXS,Technology Services
101,CSX,Transportation
102,EXC,Utilities
103,XEL,Utilities
